Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,02/03/2016,5390049,"399,730.20",AFGHANISTAN INDEPENDENT HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390126,"29,454.98",CNTR ISTRAZV SUPROSTVLJANJA KRIMINL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390141,"64,822.06",BRITISH TELECOM PLC,Inward visits to the UK and UK Conferences
FCO,FCO,02/03/2016,5390163,"46,227.67",UNHGO INSTITUTE OF MANEGEMENT CONSULTANTS OF UKRAINE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390216,"75,350.14",SECURITY SERVICES GROUP,Unscheduled repairs to building infrastructure
FCO,FCO,02/03/2016,5390241,"257,349.10",ANII,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390291,"52,100",AMEC ENVIRONMENT AND INFRASTRUCTURE UK LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390296,"40,684",IIZUKA,Information Systems Maintenance
FCO,FCO,02/03/2016,5390414,"63,436.37",WHITES CONSULTANTS LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390430,"46,304",G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
FCO,FCO,02/03/2016,5390474,"30,682.99",G4S SECURITY SERIVICES GHANA LTD,Local Guards
FCO,FCO,02/03/2016,5390540,"37,500",CONCILIATION RESOURCES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390638,"1,110,970",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390689,"236,242",DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,02/03/2016,5390692,"191,148.40",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390716,"100,541",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390730,"65,000",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390732,"30,624.39",VERIFICATION TRAINING AND INFORMATION CENTRE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390767,"48,243.53",THE GREEN CAMEL INVESTMENTS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390776,"47,501.87",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390779,"82,717.12",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390780,"32,926.89",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390782,"62,587.54",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/03/2016,5390792,"49,387.38",THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/03/2016,5390796,"43,829.10",STADIUM MANAGEMENT LTD,Inward visits to the UK and UK Conferences
FCO,FCO,03/03/2016,5391777,"115,172.90",AFRICAN SKIES LTD,Local Guards
FCO,FCO,03/03/2016,5391840,"39,132.94",ISAMRADO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2016,5391905,"110,848",TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2016,5392028,"29,184.40",BARTON ENGINEERING AND EXPORT,Construction Project more than £10k
FCO,FCO,03/03/2016,5392036,"50,000",VICTIM SUPPORT HOMICE SERVICE,Human Rights : Assistance Policy
FCO,FCO,03/03/2016,5392075,"161,588",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,03/03/2016,5392087,"50,402",CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,03/03/2016,5392130,"156,339.20",BUCKINGHAM PALACE SERVICES,GH/VIP Grant in Aid
FCO,FCO,03/03/2016,5392232,"29,765.79",INTERSERVE FM LTD,Grounds Maintenance
FCO,FCO,03/03/2016,5392256,"107,976",BMW AG,Payments On Behalf Of Other External Orgns
FCO,FCO,03/03/2016,5392257,"107,976",BMW AG,Payments On Behalf Of Other External Orgns
FCO,FCO,03/03/2016,5392284,"148,998.30",VENTURE LAO PTE CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/03/2016,5392334,"161,085",RIGHT START FOUNDATION INTERNATIONAL - RSFI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2016,5392356,"135,207.30",DIPLOMATIC MISSION SUPPLIES LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,03/03/2016,5392366,"121,522",DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/03/2016,5392407,"28,010",INSTITUT FRANCAIS,Language Tuition: Essential
FCO,FCO,04/03/2016,5392989,"26,075.62",DEVELOPMENT RESEARCH CENTRE OF THE STATE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/03/2016,5393172,"58,564.04",AL SALEM YORK SERVICES LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,04/03/2016,5393678,"63,628.01",CTA ECONOMIC AND EXPORT ANALYSTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/03/2016,5393703,"51,251.35",HM TREASURY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/03/2016,5393713,"37,500",MANCHESTER CITY COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/03/2016,5393748,"52,932.22",TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
