Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,DBS - Disclosure & Barring Service,02/05/2013,HOPG Estates Accomodation Rent,DBS - Disclosure & Barring Service,CITY & NORTHERN MP LTD,1001408995,"140,188.20"
Home Office,DBS - Disclosure & Barring Service,03/05/2013,Contingent Labour,DBS - Disclosure & Barring Service,PARITY RESOURCES LTD,1001410391,"37,800.00"
Home Office,DBS - Disclosure & Barring Service,08/05/2013,PCD National Applications,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001411905,"61,631.21"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001413163,"43,217.35"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER,1001413187,"31,212.59"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001413250,"90,865.54"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE,1001413251,"84,898.97"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,PCD National Applications,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001413252,"71,317.51"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001413253,"26,016.14"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001413255,"44,346.02"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001413262,"38,313.07"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DERBYSHIRE,1001413263,"45,482.88"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR DEVON & CORNWALL,1001413264,"32,756.04"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR ESSEX,1001413266,"139,595.77"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001413269,"83,442.12"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001413270,"30,972.67"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,"Science, Technical & Research",DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR WILTSHIRE,1001413296,"35,533.15"
Home Office,DBS - Disclosure & Barring Service,13/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001413308,"128,201.10"
Home Office,DBS - Disclosure & Barring Service,14/05/2013,"Science, Technical & Research",DBS - Disclosure & Barring Service,HOME OFFICE,9000015,"211,516.00"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"34,110.00"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"70,215.60"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"45,031.20"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"76,266.00"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"58,982.40"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"200,642.40"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"29,189.20"
Home Office,DBS - Disclosure & Barring Service,17/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001415753,"40,957.44"
Home Office,DBS - Disclosure & Barring Service,20/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001416572,"1,503,367.40"
Home Office,DBS - Disclosure & Barring Service,20/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001416572,"78,315.96"
Home Office,DBS - Disclosure & Barring Service,20/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001416572,"344,213.96"
Home Office,DBS - Disclosure & Barring Service,22/05/2013,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001418054,"454,061.98"
Home Office,DBS - Disclosure & Barring Service,23/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001418669,"-156,724.32"
Home Office,DBS - Disclosure & Barring Service,23/05/2013,Business Process Outsourcing,DBS - Disclosure & Barring Service,CAPITA BUSINESS SERVICES LTD,1001418669,"269,428.32"
Home Office,HMPO - HM Passport Office,01/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DX SECURE LTD,1001407823,"1,005,021.29"
Home Office,HMPO - HM Passport Office,01/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DX SECURE LTD,1001407823,"938,210.99"
Home Office,HMPO - HM Passport Office,01/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,FCO SERVICES,3000046510,"7,950.00"
Home Office,HMPO - HM Passport Office,01/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,FCO SERVICES,3000046510,"7,950.00"
Home Office,HMPO - HM Passport Office,01/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,FCO SERVICES,3000046510,"7,950.00"
Home Office,HMPO - HM Passport Office,01/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,FCO SERVICES,3000046510,"7,950.00"
Home Office,HMPO - HM Passport Office,01/05/2013,Utilities - Rates,HMPO - HM Passport Office,LAND AND PROPERTY SERVICES BELFAST,1001407859,"154,612.26"
Home Office,HMPO - HM Passport Office,02/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,Q-MATIC UK LTD,1001409053,"38,880.00"
Home Office,HMPO - HM Passport Office,03/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,ATOS I T SERVICES UK LTD,1001409549,"33,020.40"
Home Office,HMPO - HM Passport Office,07/05/2013,"Transport, Storage & Mail Services",HMPO - HM Passport Office,ROYAL MAIL,1001410542,"26,076.42"
Home Office,HMPO - HM Passport Office,07/05/2013,"Transport, Storage & Mail Services",HMPO - HM Passport Office,ROYAL MAIL,1001410542,"4,352.39"
Home Office,HMPO - HM Passport Office,07/05/2013,"Transport, Storage & Mail Services",HMPO - HM Passport Office,ROYAL MAIL,1001410542,"4,350.81"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"289,085.12"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"779,727.09"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"956,260.80"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"304,957.94"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"264,376.42"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"266,177.75"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"273,256.49"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"272,743.67"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"271,121.14"
Home Office,HMPO - HM Passport Office,07/05/2013,Passport Production,HMPO - HM Passport Office,STERIA UK,1001410547,"263,110.62"
Home Office,HMPO - HM Passport Office,07/05/2013,Office Equipment Access Supplies,HMPO - HM Passport Office,WILLIAMS LEA,1001410565,"27,612.00"
Home Office,HMPO - HM Passport Office,08/05/2013,"Building, Construction Services",HMPO - HM Passport Office,WATES INTERIORS LTD,1001411911,"587,237.33"
Home Office,HMPO - HM Passport Office,08/05/2013,"Building, Construction Services",HMPO - HM Passport Office,WATES INTERIORS LTD,1001411911,"-587,237.33"
Home Office,HMPO - HM Passport Office,08/05/2013,"Building, Construction Services",HMPO - HM Passport Office,WATES INTERIORS LTD,1001411911,"495,143.57"
Home Office,HMPO - HM Passport Office,09/05/2013,Government Services.Public AdminstrationServices,HMPO - HM Passport Office,DEPARTMENT OF FINANCE & PERSONNEL,1001412007,"54,326.93"
Home Office,HMPO - HM Passport Office,09/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DHL GLOBAL FORWARDING UK LTD,1001412008,"436,356.53"
Home Office,HMPO - HM Passport Office,09/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DHL GLOBAL FORWARDING UK LTD,1001412008,"133,940.28"
Home Office,HMPO - HM Passport Office,10/05/2013,"IT, Broadcasting & Telecomms Hardware",HMPO - HM Passport Office,VIGLEN LTD,1001412690,"23,668.80"
Home Office,HMPO - HM Passport Office,10/05/2013,"IT, Broadcasting & Telecomms Hardware",HMPO - HM Passport Office,VIGLEN LTD,1001412690,"17,323.20"
Home Office,HMPO - HM Passport Office,15/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CABLE & WIRELESS,6200037268,"-114,000.00"
Home Office,HMPO - HM Passport Office,15/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CABLE & WIRELESS,6200037268,"114,000.00"
Home Office,HMPO - HM Passport Office,15/05/2013,Passport Production,HMPO - HM Passport Office,MM TELEPERFORMANCE LTD T/A TELEPERFORMANCE,1001414605,"150,189.07"
Home Office,HMPO - HM Passport Office,15/05/2013,Passport Production,HMPO - HM Passport Office,MM TELEPERFORMANCE LTD T/A TELEPERFORMANCE,1001414605,"47,130.72"
Home Office,HMPO - HM Passport Office,16/05/2013,Passport Production,HMPO - HM Passport Office,MM TELEPERFORMANCE LTD T/A TELEPERFORMANCE,1001415152,"751,870.16"
Home Office,HMPO - HM Passport Office,16/05/2013,"Building, Construction Services",HMPO - HM Passport Office,WATES INTERIORS LTD,1001415215,"92,093.76"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"279,946.80"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"105,565.27"
Home Office,HMPO - HM Passport Office,17/05/2013,Office Equipment Access Supplies,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"17,594.61"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"283,935.14"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"39,391.20"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"25,911.02"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"-56,501.68"
Home Office,HMPO - HM Passport Office,17/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001415774,"-174,588.72"
Home Office,HMPO - HM Passport Office,20/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"139,373.41"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"314,264.51"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"70,327.03"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"183,303.08"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"43,302.00"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"83,202.00"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"80,040.64"
Home Office,HMPO - HM Passport Office,20/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"307,342.80"
Home Office,HMPO - HM Passport Office,20/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"919,426.80"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416582,"445,875.60"
Home Office,HMPO - HM Passport Office,20/05/2013,"IT, Broadcasting & Telecomms Application Consultancy & Development",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001416583,"84,395.68"
Home Office,HMPO - HM Passport Office,21/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001417561,"51,553.94"
Home Office,HMPO - HM Passport Office,22/05/2013,"Building, Construction Services",HMPO - HM Passport Office,PARKERAY LTD,1001418081,"927,474.00"
Home Office,HMPO - HM Passport Office,22/05/2013,"Building, Construction Services",HMPO - HM Passport Office,PARKERAY LTD,1001418081,"119,417.36"
Home Office,HMPO - HM Passport Office,22/05/2013,"Building, Construction Services",HMPO - HM Passport Office,PARKERAY LTD,1001418081,"66,680.88"
Home Office,HMPO - HM Passport Office,23/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001418678,"31,701.82"
Home Office,HMPO - HM Passport Office,23/05/2013,"IT, Broadcasting & Telecomms Secure Intranet",HMPO - HM Passport Office,DEPARTMENT FOR WORK & PENSIONS (DWP),3000046609,"28,320.13"
Home Office,HMPO - HM Passport Office,23/05/2013,"IT, Broadcasting & Telecomms Secure Intranet",HMPO - HM Passport Office,DEPARTMENT FOR WORK & PENSIONS (DWP),3000046609,"59,215.38"
Home Office,HMPO - HM Passport Office,23/05/2013,"IT, Broadcasting & Telecomms Secure Intranet",HMPO - HM Passport Office,DEPARTMENT FOR WORK & PENSIONS (DWP),3000046609,"13,142.87"
Home Office,HMPO - HM Passport Office,24/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"310,726.80"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms Managed Service",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"43,487.04"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"20,973.57"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"35,459.58"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"48,235.79"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"18,447.83"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"28,352.51"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"17,604.81"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"21,543.62"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"16,535.00"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"54,042.79"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"16,495.55"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"46,519.91"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"20,707.50"
Home Office,HMPO - HM Passport Office,24/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"18,660.70"
Home Office,HMPO - HM Passport Office,24/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"-310,726.80"
Home Office,HMPO - HM Passport Office,24/05/2013,Passport Production,HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419778,"310,726.80"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"10,773.12"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"39,172.21"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"10,773.12"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"22,225.32"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"10,773.12"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"35,220.00"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419780,"10,773.12"
Home Office,HMPO - HM Passport Office,24/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DX SECURE LTD,1001419784,"52,649.28"
Home Office,HMPO - HM Passport Office,24/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DX SECURE LTD,1001419784,"772,137.18"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,ERNST AND YOUNG LLP,1001419788,"52,090.52"
Home Office,HMPO - HM Passport Office,24/05/2013,Consultancy,HMPO - HM Passport Office,ERNST AND YOUNG LLP,1001419788,"22,784.68"
Home Office,HMPO - HM Passport Office,24/05/2013,"Building, Construction Services",HMPO - HM Passport Office,PARKERAY LTD,1001419821,"563,809.43"
Home Office,HMPO - HM Passport Office,28/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419983,"149,969.66"
Home Office,HMPO - HM Passport Office,28/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,CSC COMPUTER SCIENCES CORPORATION,1001419983,"-85,526.75"
Home Office,HMPO - HM Passport Office,28/05/2013,Passport Production,HMPO - HM Passport Office,DE LA RUE INTERNATIONAL LTD,1001419984,"5,001,197.54"
Home Office,HMPO - HM Passport Office,28/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,DE LA RUE INTERNATIONAL LTD,1001419984,"33,782.40"
Home Office,HMPO - HM Passport Office,28/05/2013,"IT, Broadcasting & Telecomms",HMPO - HM Passport Office,DE LA RUE INTERNATIONAL LTD,1001419984,"37,136.40"
Home Office,HMPO - HM Passport Office,28/05/2013,Consultancy,HMPO - HM Passport Office,DELOITTE LLP,1001419985,"28,776.82"
Home Office,HMPO - HM Passport Office,28/05/2013,Secure Delivery Costs,HMPO - HM Passport Office,DX SECURE LTD,1001419987,"1,433,390.23"
Home Office,HMPO - HM Passport Office,28/05/2013,Animal Material & Supplies,HMPO - HM Passport Office,MAPELEY ABI PROVIDER LTD,1001420003,"185,123.84"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,415.80
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,187.20
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,616.80
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,822.82
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,822.82
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"2,224.40"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"4,194.00"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"3,697.56"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"3,293.78"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,576.48
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"12,199.79"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"2,405.52"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"22,392.00"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,333.95
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,"6,480.00"
Home Office,HMPO - HM Passport Office,28/05/2013,Furniture,HMPO - HM Passport Office,TRIUMPH,1001420050,607.58
Home Office,Home Office,02/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001409030,"191,582.21"
Home Office,Home Office,02/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001409030,"138,403.70"
Home Office,Home Office,02/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001409030,"77,400.27"
Home Office,Home Office,02/05/2013,Advertising Media,Communications,M4C,1001409030,"51,102.72"
Home Office,Home Office,02/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001409030,"80,090.69"
Home Office,Home Office,03/05/2013,Advertising Media,Communications,THE NEWSPAPER LICENSING AGENCY,1001409701,"26,209.20"
Home Office,Home Office,07/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001410509,"71,084.78"
Home Office,Home Office,07/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001410509,"136,925.72"
Home Office,Home Office,07/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001410509,"32,326.38"
Home Office,Home Office,10/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001412634,"27,827.93"
Home Office,Home Office,10/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001412634,"23,214.61"
Home Office,Home Office,21/05/2013,Advertising Media,Communications,M4C,1001417574,"40,811.30"
Home Office,Home Office,21/05/2013,"Editorial, Design & Graphics",Communications,M4C,1001417574,"-34,262.48"
Home Office,Home Office,21/05/2013,Advertising Media,Communications,M4C,1001417574,"33,734.65"
Home Office,Home Office,23/05/2013,"Editorial, Design & Graphics",Communications,MARKET & OPINION RESEARCH INTERNATIONAL LTD,1001418715,"33,000.00"
Home Office,Home Office,23/05/2013,"Editorial, Design & Graphics",Communications,MARKET & OPINION RESEARCH INTERNATIONAL LTD,1001418715,"29,700.00"
Home Office,Home Office,28/05/2013,"IT, Broadcasting & Telecomms Managed Service",Communications,SPECIALIST COMPUTER CENTRES PLC,1001420035,"36,810.00"
Home Office,Home Office,01/05/2013,"Transport, Storage & Mail Services",CPG - Crime & Policing Group,FORENSIC ARCHIVE LTD,1001407830,"602,400.00"
Home Office,Home Office,01/05/2013,Defence & Law Enforcement,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001407882,"60,000.00"
Home Office,Home Office,01/05/2013,Grant,CPG - Crime & Policing Group,SOCA (G),1001407753,"12,000,000.00"
Home Office,Home Office,03/05/2013,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001410195,"37,000.00"
Home Office,Home Office,03/05/2013,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001410407,"169,021.00"
Home Office,Home Office,03/05/2013,IT Run Cost,CPG - Crime & Policing Group,MERRILL CORPORATION LTD,1001409659,"220,409.76"
Home Office,Home Office,03/05/2013,Grant,CPG - Crime & Policing Group,COLLEGE OF POLICING (G),1001410198,"6,300,000.00"
Home Office,Home Office,07/05/2013,Grant,CPG - Crime & Policing Group,INDEPENDENT POLICE COMPLAINTS COMISSION (G),3000046531,"3,500,000.00"
Home Office,Home Office,07/05/2013,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001411136,"5,128,608.00"
