Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,06/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,30845,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,836,177.16"
Ministry of Defence,Ministry of Defence,14/07/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,33537,Intangible single use military equipment asset  - in year capital addition,"Ł18,603,085.24"
Ministry of Defence,Ministry of Defence,24/07/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,37316,Fees for professional services excluding legal fees,"Ł13,069,526.00"
Ministry of Defence,Ministry of Defence,10/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,32585,Equipment support non-project costs,"Ł10,954,431.71"
Ministry of Defence,Ministry of Defence,08/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,31869,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł8,083,309.74"
Ministry of Defence,Ministry of Defence,21/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,36003,Estate core services charge,"Ł7,079,394.88"
Ministry of Defence,Ministry of Defence,27/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,37830,Estate core services charge,"Ł6,728,311.53"
Ministry of Defence,Ministry of Defence,23/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,36852,Utilities consumed - gas,"Ł6,580,490.80"
Ministry of Defence,Ministry of Defence,17/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,34918,Property dwellings private finance initiative - service concession arrangement service charge,"Ł6,240,572.91"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV3 0SR,38832,Fiscal asset under construction - capital in year addition,"Ł6,099,230.60"
Ministry of Defence,Ministry of Defence,10/07/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,32628,Fees for professional services excluding legal fees,"Ł5,836,566.75"
Ministry of Defence,Ministry of Defence,24/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,37267,Fiscal asset under construction - capital in year addition,"Ł5,408,364.61"
Ministry of Defence,Ministry of Defence,17/07/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,34761,Estate + facilities management services - accommodation inventory + service,"Ł5,349,495.01"
Ministry of Defence,Ministry of Defence,15/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,33981,Estate core services charge,"Ł5,069,466.05"
Ministry of Defence,Ministry of Defence,27/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,37781,Equipment support non-project costs,"Ł5,022,015.00"
Ministry of Defence,Ministry of Defence,29/07/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,38868,Fees for professional services excluding legal fees,"Ł4,848,528.07"
Ministry of Defence,Ministry of Defence,29/07/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,38864,Grant in aid to the council of reserve forces and cadet associations,"Ł4,791,923.78"
Ministry of Defence,Ministry of Defence,13/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,33190,Utilities consumed - electricity,"Ł4,574,781.53"
Ministry of Defence,Ministry of Defence,22/07/2015,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 6BS,36371,External military training ,"Ł3,643,816.76"
Ministry of Defence,Ministry of Defence,31/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,39969,Fiscal asset under construction - capital in year addition,"Ł3,432,045.03"
Ministry of Defence,Ministry of Defence,14/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,33610,Utilities consumed - electricity,"Ł3,370,665.99"
Ministry of Defence,Ministry of Defence,27/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BALFOUR BEATTY GROUP LIMITED,SW1V 1LQ,37783,Fiscal asset under construction - capital in year addition,"Ł3,084,587.20"
Ministry of Defence,Ministry of Defence,13/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,33067,Equipment support non-project costs,"Ł2,978,798.60"
Ministry of Defence,Ministry of Defence,03/07/2015,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,30407,Plant + machinery private finance initiative - service concession arrangements service charge,"Ł2,973,976.88"
Ministry of Defence,Ministry of Defence,15/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,10019,Equipment support non-project costs,"Ł2,770,758.00"
Ministry of Defence,Ministry of Defence,20/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,35140,Single use military equipment asset under construction - capital in year addition,"Ł2,603,119.80"
Ministry of Defence,Ministry of Defence,20/07/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA UK PLC,WD3 9SW,35770,Fees for professional services excluding legal fees,"Ł2,581,415.40"
Ministry of Defence,Ministry of Defence,31/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,39845,Utilities consumed - gas,"Ł2,567,518.50"
Ministry of Defence,Ministry of Defence,03/07/2015,Property leases,JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,30498,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł2,529,311.28"
Ministry of Defence,Ministry of Defence,15/07/2015,Fees for professional services,DES Bespoke Trading Entity,CH2M HILL INTERNATIONAL NUCLEAR SERVICES LTD,W6 7EF,33932,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł2,451,346.84"
Ministry of Defence,Ministry of Defence,16/07/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,34128,Fees for professional services excluding legal fees,"Ł2,295,716.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,MCKINSEY & COMPANY INC  UNITED KINGDOM,SW1Y 4UH,29887,Equipment support project costs,"Ł2,278,238.40"
Ministry of Defence,Ministry of Defence,16/07/2015,Transport hire charges,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,34092,Transport fighting equipment operating lease,"Ł2,164,418.16"
Ministry of Defence,Ministry of Defence,17/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,6000003648,Estate core services charge,"Ł2,153,640.90"
Ministry of Defence,Ministry of Defence,16/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,34093,Works - estate management,"Ł2,137,372.13"
Ministry of Defence,Ministry of Defence,16/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,34186,Utilities consumed - electricity,"Ł2,069,594.36"
Ministry of Defence,Ministry of Defence,02/07/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LONDON & REGIONAL (ST GEORGES  COURT) LIMITED,W1U 8EW,29853,Rent buildings - non civil estate property and married quarter property,"Ł2,035,726.03"
Ministry of Defence,Ministry of Defence,20/07/2015,Spend on Inventory - General,Defence Equipment + Support,LEVEL PEAKS ASSOCIATES LTD.,HR4 9SG,35498,Spend on Inventory - General,"Ł2,035,379.04"
Ministry of Defence,Ministry of Defence,02/07/2015,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,29611,Computer equipment costing below the capitalisation threshold,"Ł2,025,665.42"
Ministry of Defence,Ministry of Defence,02/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,4000000057,Works - estate management,"Ł1,991,772.96"
Ministry of Defence,Ministry of Defence,15/07/2015,Purchase of information and communications technology,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,33982,IT + communications asset - in year capital addition,"Ł1,920,309.60"
Ministry of Defence,Ministry of Defence,08/07/2015,Grants to NDPBs,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,31747,Grant in aid to the council of reserve forces and cadet associations,"Ł1,895,218.00"
Ministry of Defence,Ministry of Defence,27/07/2015,Purchase of buildings - Dwellings,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,37880,Property building dwellings asset - in year capital addition,"Ł1,850,140.00"
Ministry of Defence,Ministry of Defence,17/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,34948,Estate + facilities management services - accommodation inventory + service,"Ł1,842,957.97"
Ministry of Defence,Ministry of Defence,10/07/2015,Spend on Inventory - General,Defence Equipment + Support,NP AEROSPACE LTD,CV6 5AQ,32889,Spend on Inventory - General,"Ł1,777,739.40"
Ministry of Defence,Ministry of Defence,24/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,37316,Fiscal asset under construction - capital in year addition,"Ł1,767,750.00"
Ministry of Defence,Ministry of Defence,27/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,37859,Estate + facilities management services - accommodation inventory + service,"Ł1,749,317.39"
Ministry of Defence,Ministry of Defence,23/07/2015,Purchase of buildings - Dwellings,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,36865,Property building dwellings asset - in year capital addition,"Ł1,746,600.00"
Ministry of Defence,Ministry of Defence,09/07/2015,Fees for professional services,HO+CS,SERVICES SOUND & VISION CORPORATION,SL9 8TN,32444,Fees for professional services excluding legal fees,"Ł1,703,166.00"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,38833,Fiscal asset under construction - capital in year addition,"Ł1,693,784.77"
Ministry of Defence,Ministry of Defence,08/07/2015,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,31755,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł1,678,529.69"
Ministry of Defence,Ministry of Defence,13/07/2015,Fees for professional services,JFC,SERCO LIMITED,RG27 9UY,33404,Fees for professional services excluding legal fees,"Ł1,659,452.61"
Ministry of Defence,Ministry of Defence,28/07/2015,Externally delivered education and training,Navy Command,BABCOCK FLAGSHIP LIMITED,BS23 6BS,38346,External military training ,"Ł1,610,645.30"
Ministry of Defence,Ministry of Defence,28/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000004066,Estate core services charge,"Ł1,586,431.20"
Ministry of Defence,Ministry of Defence,23/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000003872,Works - estate management,"Ł1,564,976.58"
Ministry of Defence,Ministry of Defence,06/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,30967,Property dwellings private finance initiative - service concession arrangement service charge,"Ł1,542,110.84"
Ministry of Defence,Ministry of Defence,21/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,36257,Estate + facilities management services - accommodation inventory + service,"Ł1,520,054.33"
Ministry of Defence,Ministry of Defence,15/07/2015,Research and development,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,33899,Research and development excluding defence science and technology laboratory,"Ł1,469,648.00"
Ministry of Defence,Ministry of Defence,29/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,38790,Equipment support non-project costs,"Ł1,469,533.20"
Ministry of Defence,Ministry of Defence,17/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,TRICOMM HOUSING LIMITED,EH3 7HL,35014,Property dwellings private finance initiative - service concession arrangement service charge,"Ł1,457,036.28"
Ministry of Defence,Ministry of Defence,27/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,37992,Estate core services charge,"Ł1,438,883.03"
Ministry of Defence,Ministry of Defence,29/07/2015,Fees for professional services,DES Bespoke Trading Entity,CH2M HILL INTERNATIONAL NUCLEAR SERVICES LTD,W6 7EF,38844,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł1,405,233.18"
Ministry of Defence,Ministry of Defence,02/07/2015,Fees for professional services,DES Bespoke Trading Entity,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,30121,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł1,369,459.20"
Ministry of Defence,Ministry of Defence,29/07/2015,Fees for professional services,DES Bespoke Trading Entity,BECHTEL MANAGEMENT COMPANY LIMITED,EC4 6RN,38796,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł1,350,869.36"
Ministry of Defence,Ministry of Defence,02/07/2015,Grants to Reserves Forces and Cadets Association,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,29644,Grants to reserve forces and cadet associations,"Ł1,342,577.10"
Ministry of Defence,Ministry of Defence,08/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER ESTATE SOLUTIONS LIMITED,KY11 2BL,32028,Fiscal asset under construction - capital in year addition,"Ł1,333,521.60"
Ministry of Defence,Ministry of Defence,22/07/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV3 0SR,36417,Fees for professional services excluding legal fees,"Ł1,290,453.60"
Ministry of Defence,Ministry of Defence,22/07/2015,Spend on Inventory - General,Defence Equipment + Support,ITURRI SA,OX16 3TA,3200430,Spend on Inventory - General,"Ł1,243,389.70"
Ministry of Defence,Ministry of Defence,09/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,32515,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł1,236,158.89"
Ministry of Defence,Ministry of Defence,22/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,36338,Movement of service personnel,"Ł1,232,696.51"
Ministry of Defence,Ministry of Defence,15/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,33982,Equipment support non-project costs,"Ł1,222,951.00"
Ministry of Defence,Ministry of Defence,10/07/2015,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,32963,Equipment support non-project costs,"Ł1,140,264.86"
Ministry of Defence,Ministry of Defence,27/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK AEROSPACE LIMITED,BH23 6BS,37769,Equipment support non-project costs,"Ł1,129,409.42"
Ministry of Defence,Ministry of Defence,21/07/2015,Property leases,JFC,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,36147,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł1,093,884.99"
Ministry of Defence,Ministry of Defence,13/07/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,33088,Spend on Inventory - General,"Ł1,091,704.57"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,38792,Single use military equipment asset under construction - capital in year addition,"Ł1,090,397.00"
Ministry of Defence,Ministry of Defence,20/07/2015,Fees for professional services,HO+CS,SERCO LIMITED,RG27 9UY,35758,Fees for professional services excluding legal fees,"Ł1,089,873.67"
Ministry of Defence,Ministry of Defence,15/07/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,"LEIDOS EUROPE, LIMITED",CB25 9QE,10019,Equipment support non-project costs,"Ł1,038,380.40"
Ministry of Defence,Ministry of Defence,23/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,36872,Freight movement costs,"Ł1,037,266.96"
Ministry of Defence,Ministry of Defence,15/07/2015,Fees for professional services,DES Bespoke Trading Entity,BECHTEL MANAGEMENT COMPANY LIMITED,EC4 6RN,33908,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł1,011,947.69"
Ministry of Defence,Ministry of Defence,29/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,39197,Estate + facilities management services - accommodation inventory + service,"Ł982,411.51"
Ministry of Defence,Ministry of Defence,23/07/2015,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,37129,Operating costs grant in aid to the Royal Hospital Chelsea,"Ł975,472.00"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,186590,Fiscal asset under construction - capital in year addition,"Ł956,813.40"
Ministry of Defence,Ministry of Defence,13/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV3 0SR,33133,Fiscal asset under construction - capital in year addition,"Ł951,190.82"
Ministry of Defence,Ministry of Defence,03/07/2015,Spend on Inventory - General,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,30686,Spend on Inventory - General,"Ł946,850.30"
Ministry of Defence,Ministry of Defence,31/07/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,40188,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł919,467.29"
Ministry of Defence,Ministry of Defence,21/07/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,36031,Fees for professional services excluding legal fees,"Ł884,223.71"
Ministry of Defence,Ministry of Defence,16/07/2015,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,34423,Operating costs grant in aid to the royal navy marine society and sea cadets.,"Ł878,512.00"
Ministry of Defence,Ministry of Defence,30/07/2015,Fees for professional services,DES Bespoke Trading Entity,BECHTEL MANAGEMENT COMPANY LIMITED,EC4 6RN,39335,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł857,825.76"
Ministry of Defence,Ministry of Defence,21/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,36036,Fiscal asset under construction - capital in year addition,"Ł816,962.38"
Ministry of Defence,Ministry of Defence,21/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,36003,Works services - excluding United States forces/NATO + married quarters,"Ł813,464.22"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,29644,Fiscal asset under construction - capital in year addition,"Ł809,543.74"
Ministry of Defence,Ministry of Defence,06/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SERCO LIMITED,RG27 9UY,31190,Estate + facilities management services - accommodation inventory + service,"Ł802,979.23"
Ministry of Defence,Ministry of Defence,09/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,RAMBOLL UK LIMITED,SE1 8NW,32414,Fiscal asset under construction - capital in year addition,"Ł800,053.59"
Ministry of Defence,Ministry of Defence,10/07/2015,General services and support,Defence Equipment + Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000000526,Defence equipment CLS/IOS service charge,"Ł797,836.95"
Ministry of Defence,Ministry of Defence,02/07/2015,Fees for professional services,JFC,KPMG LLP,WD17 1DE,29833,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł755,377.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Fees for professional services,DES Bespoke Trading Entity,KPMG LLP,WD17 1DE,29833,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł753,729.00"
Ministry of Defence,Ministry of Defence,30/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000004203,Works - estate management,"Ł750,763.19"
Ministry of Defence,Ministry of Defence,20/07/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WILTSHIRE COUNCIL,BA14 4DS,35918,Rent buildings - non civil estate property and married quarter property,"Ł741,653.66"
Ministry of Defence,Ministry of Defence,02/07/2015,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,30287,Grants to reserve forces and cadet associations,"Ł719,832.07"
Ministry of Defence,Ministry of Defence,06/07/2015,Food and clothing,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,31157,Cost of food purchases,"Ł718,320.22"
Ministry of Defence,Ministry of Defence,13/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,33066,Movement of service personnel,"Ł713,045.98"
Ministry of Defence,Ministry of Defence,28/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,38317,Movement of service personnel,"Ł708,389.54"
Ministry of Defence,Ministry of Defence,20/07/2015,Fees for professional services,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,35127,Fees for professional services excluding legal fees,"Ł700,170.79"
Ministry of Defence,Ministry of Defence,27/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,37743,Movement of service personnel,"Ł699,111.95"
Ministry of Defence,Ministry of Defence,02/07/2015,IT and communication services,HO+CS,MAINDEC COMPUTER SOLUTIONS LIMITED,HP10 0AB,29866,Computer equipment costing below the capitalisation threshold,"Ł698,975.95"
Ministry of Defence,Ministry of Defence,20/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,35246,Estate + facilities management services - accommodation inventory + service,"Ł690,292.78"
Ministry of Defence,Ministry of Defence,14/07/2015,Payment of utilities,Navy Command,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,33610,Utilities consumed - electricity,"Ł681,793.17"
Ministry of Defence,Ministry of Defence,24/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,6000003941,Works - estate management,"Ł676,206.39"
Ministry of Defence,Ministry of Defence,15/07/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,33882,Movement of service personnel,"Ł675,071.36"
Ministry of Defence,Ministry of Defence,16/07/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,34093,Estate core services charge,"Ł670,863.06"
Ministry of Defence,Ministry of Defence,10/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,32682,Fiscal asset under construction - capital in year addition,"Ł670,807.32"
Ministry of Defence,Ministry of Defence,15/07/2015,IT and communication services,JFC,CGI IT UK LIMITED,CF31 9AP,33931,Information technology services,"Ł649,264.87"
Ministry of Defence,Ministry of Defence,20/07/2015,Grants to NDPBs,HO+CS,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,35259,New grant in aid and contributions without own account code,"Ł616,400.00"
Ministry of Defence,Ministry of Defence,22/07/2015,Spend on Inventory - General,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,36622,Spend on Inventory - General,"Ł613,414.05"
Ministry of Defence,Ministry of Defence,28/07/2015,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,38327,Plant + machinery private finance initiative - service concession arrangements service charge,"Ł606,719.54"
Ministry of Defence,Ministry of Defence,10/07/2015,Fees for professional services,DES Bespoke Trading Entity,KPMG LLP,WD17 1DE,32778,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł604,929.00"
Ministry of Defence,Ministry of Defence,02/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,29523,Equipment support non-project costs,"Ł592,615.32"
Ministry of Defence,Ministry of Defence,02/07/2015,IT and communication services,Land Forces,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,29611,Computer equipment costing below the capitalisation threshold,"Ł591,167.00"
Ministry of Defence,Ministry of Defence,24/07/2015,Food and clothing,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,37609,Cost of food purchases,"Ł584,449.40"
Ministry of Defence,Ministry of Defence,09/07/2015,Spend on Inventory - General,DES Bespoke Trading Entity,JAMES TROOP & COMPANY LIMITED,WA7 1PZ,32281,Spend on Inventory - General,"Ł584,161.39"
Ministry of Defence,Ministry of Defence,13/07/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,33163,Fiscal asset under construction - capital in year addition,"Ł580,596.40"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,38944,Fiscal asset under construction - capital in year addition,"Ł575,000.00"
Ministry of Defence,Ministry of Defence,09/07/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ELECTRICITY AUTHORITY OF CYPRUS,CY1399,6000003289,Utilities consumed - electricity,"Ł569,260.49"
Ministry of Defence,Ministry of Defence,22/07/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,36432,Cost of food services,"Ł552,663.87"
