UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC13579,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,220.53",13579
MODGPC13580,04-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł3,628.80",13580
MODGPC13581,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,176.00",13581
MODGPC13582,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,176.00",13582
MODGPC13583,03-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,639.70",13583
MODGPC13584,03-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,486.40",13584
MODGPC13585,04-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł4,183.20",13585
MODGPC13586,11-Oct-11,Books and Periodicals              , BOOK STORES,Ł944.00,13586
MODGPC13587,06-Oct-11,Books and Periodicals              , BOOK STORES,Ł510.59,13587
MODGPC13588,12-Oct-11,Books and Periodicals              , BOOK STORES,"Ł1,587.78",13588
MODGPC13589,12-Oct-11,Books and Periodicals              , BOOK STORES,Ł548.08,13589
MODGPC13590,06-Oct-11,Books and Periodicals              , BOOK STORES,Ł949.95,13590
MODGPC13591,07-Oct-11,Books and Periodicals              , BOOK STORES,Ł513.09,13591
MODGPC13592,07-Oct-11,Books and Periodicals              , BOOK STORES,Ł651.84,13592
MODGPC13593,04-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł782.68,13593
MODGPC13594,06-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,180.00",13594
MODGPC13595,06-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł595.00,13595
MODGPC13596,12-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł3,515.05",13596
MODGPC13597,05-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,243.20",13597
MODGPC13598,04-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,761.40",13598
MODGPC13599,06-Oct-11,Books and Periodicals              , BOOK STORES,"Ł1,063.25",13599
MODGPC13600,04-Oct-11,Books and Periodicals              , BOOK STORES,"Ł1,000.00",13600
MODGPC13601,06-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł4,518.00",13601
MODGPC13602,04-Oct-11,Books and Periodicals              , BOOK STORES,Ł988.80,13602
MODGPC13603,07-Oct-11,Books and Periodicals              , BOOK STORES,"Ł1,388.40",13603
MODGPC13604,06-Oct-11,Books and Periodicals              , BOOK STORES,Ł914.25,13604
MODGPC13605,08-Oct-11,Books and Periodicals              , BOOK STORES,Ł643.97,13605
MODGPC13606,12-Oct-11,Books and Periodicals              , BOOK STORES,Ł501.84,13606
MODGPC13607,06-Oct-11,Books and Periodicals              , BOOK STORES,"Ł2,602.72",13607
MODGPC13608,05-Oct-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł4,995.20",13608
MODGPC13609,04-Oct-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,183.26",13609
MODGPC13610,07-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,369.87",13610
MODGPC13611,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł756.90,13611
MODGPC13612,05-Oct-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,026.00",13612
MODGPC13613,13-Oct-11,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,"Ł2,314.16",13613
MODGPC13614,06-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,214.36",13614
MODGPC13615,11-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł555.04,13615
MODGPC13616,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł7,082.40",13616
MODGPC13617,07-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł668.64,13617
MODGPC13618,11-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł925.08,13618
MODGPC13619,11-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł685.37,13619
MODGPC13620,06-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł521.86,13620
MODGPC13621,03-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,460.04",13621
MODGPC13622,13-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł4,999.19",13622
MODGPC13623,12-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,108.80",13623
MODGPC13624,04-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł789.60,13624
MODGPC13625,11-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł516.00,13625
MODGPC13626,04-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł684.96,13626
MODGPC13627,06-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł694.32,13627
MODGPC13628,04-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,318.46",13628
MODGPC13629,03-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł981.96,13629
MODGPC13630,03-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,624.76",13630
MODGPC13631,13-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,440.00",13631
MODGPC13632,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",13632
MODGPC13633,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł586.50,13633
MODGPC13634,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł586.50,13634
MODGPC13635,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł586.50,13635
MODGPC13636,10-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,900.00",13636
MODGPC13637,05-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł630.00,13637
MODGPC13638,11-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł589.17,13638
MODGPC13639,03-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł8,622.60",13639
MODGPC13640,06-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł588.97,13640
MODGPC13641,05-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł751.87,13641
MODGPC13642,06-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,052.01",13642
MODGPC13643,13-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,188.00",13643
MODGPC13644,11-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,410.00",13644
MODGPC13645,06-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,346.40",13645
MODGPC13646,13-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł557.47,13646
MODGPC13647,07-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł600.00,13647
MODGPC13648,10-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł720.00,13648
MODGPC13649,12-Oct-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,133.00",13649
MODGPC13650,03-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,261.10",13650
MODGPC13651,03-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł937.44,13651
MODGPC13652,10-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,256.36",13652
MODGPC13653,10-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,015.10",13653
MODGPC13654,05-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł584.52,13654
MODGPC13655,10-Oct-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł512.66,13655
MODGPC13656,05-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,Ł720.00,13656
MODGPC13657,05-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,Ł960.00,13657
MODGPC13658,05-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,Ł972.00,13658
MODGPC13659,03-Oct-11,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł1,644.00",13659
MODGPC13660,11-Oct-11,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł780.00,13660
MODGPC13661,05-Oct-11,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł1,713.64",13661
MODGPC13662,12-Oct-11,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł960.00,13662
MODGPC13663,06-Oct-11,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł2,230.56",13663
MODGPC13664,06-Oct-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł672.00,13664
MODGPC13665,06-Oct-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł672.00,13665
MODGPC13666,13-Oct-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł672.00,13666
MODGPC13667,13-Oct-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł672.00,13667
MODGPC13668,06-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,"Ł1,220.95",13668
MODGPC13669,07-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,"Ł3,182.40",13669
MODGPC13670,07-Oct-11,Building Services                  , ELECTRICAL CONTRACTORS,Ł795.60,13670
MODGPC13671,11-Oct-11,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł707.70,13671
MODGPC13672,05-Oct-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł3,541.20",13672
MODGPC13673,05-Oct-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł507.60,13673
MODGPC13674,07-Oct-11,Business Clothing and Footwear     , CLOTHING/RENT/COSTUME/UNIFO,Ł929.02,13674
MODGPC13675,06-Oct-11,Business Clothing and Footwear     , COMMERCIAL FOOTWEAR,"Ł2,574.02",13675
MODGPC13676,06-Oct-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł2,160.00",13676
MODGPC13677,05-Oct-11,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł583.86,13677
MODGPC13678,12-Oct-11,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł704.97,13678
MODGPC13679,13-Oct-11,Catering and Catering Supplies     , CATERERS,"Ł2,340.00",13679
MODGPC13680,06-Oct-11,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł4,503.31",13680
MODGPC13681,12-Oct-11,Cleaning Services and Supplies     , DRY CLEANERS,"Ł2,218.92",13681
MODGPC13682,13-Oct-11,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł1,828.80",13682
MODGPC13683,10-Oct-11,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł7,455.60",13683
MODGPC13684,12-Oct-11,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł714.00,13684
MODGPC13685,12-Oct-11,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł706.26,13685
MODGPC13686,13-Oct-11,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,864.80",13686
MODGPC13687,13-Oct-11,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,089.18",13687
MODGPC13688,11-Oct-11,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,910.93",13688
MODGPC13689,04-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,704.00",13689
MODGPC13690,11-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,155.83",13690
MODGPC13691,13-Oct-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł722.76,13691
MODGPC13692,03-Oct-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł1,757.95",13692
MODGPC13693,11-Oct-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł812.23,13693
MODGPC13694,10-Oct-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,004.65",13694
MODGPC13695,05-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł3,400.00",13695
MODGPC13696,10-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł780.00,13696
MODGPC13697,03-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł623.40,13697
MODGPC13698,04-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł2,160.00",13698
MODGPC13699,11-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł700.00,13699
MODGPC13700,11-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł624.00,13700
MODGPC13701,13-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł624.00,13701
MODGPC13702,11-Oct-11,Clubs/Associations/Organisations   , AUTO ASSOCIATIONS,Ł940.00,13702
MODGPC13703,13-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł620.00,13703
MODGPC13704,03-Oct-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,200.00",13704
MODGPC13705,03-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł4,428.00",13705
MODGPC13706,03-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł4,656.00",13706
MODGPC13707,04-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł870.00,13707
MODGPC13708,11-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł2,002.97",13708
MODGPC13709,12-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł4,583.66",13709
MODGPC13710,12-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł2,896.62",13710
MODGPC13711,12-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł3,737.37",13711
MODGPC13712,02-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,485.13",13712
MODGPC13713,12-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,615.20",13713
MODGPC13714,12-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł588.00,13714
MODGPC13715,03-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł591.00,13715
MODGPC13716,04-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł2,394.00",13716
MODGPC13717,05-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,972.32",13717
MODGPC13718,10-Oct-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł2,208.79",13718
MODGPC13719,03-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,193.58",13719
MODGPC13720,03-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,193.58",13720
MODGPC13721,11-Oct-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,230.00",13721
MODGPC13722,05-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł589.55,13722
MODGPC13723,12-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,994.91",13723
MODGPC13724,06-Oct-11,Computer Equipment & Services      , COMPUTER NETWORK/INFO SVCS,"Ł2,237.00",13724
MODGPC13725,13-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł621.60,13725
MODGPC13726,05-Oct-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,662.00",13726
MODGPC13727,12-Oct-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł720.00,13727
MODGPC13728,03-Oct-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł3,362.99",13728
MODGPC13729,06-Oct-11,Computer Equipment & Services      , COMPUTER NETWORK/INFO SVCS,Ł745.31,13729
MODGPC13730,04-Oct-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł2,986.80",13730
MODGPC13731,11-Oct-11,Estate and Garden Services         , LANDSCAPE/HORTICULTURAL SER,Ł991.20,13731
MODGPC13732,04-Oct-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY","Ł1,658.90",13732
MODGPC13733,04-Oct-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY","Ł1,566.00",13733
MODGPC13734,11-Oct-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY","Ł1,248.10",13734
MODGPC13735,13-Oct-11,Estate and Garden Services         , FLORIST SUPPLIES/NURSERY STOCK,Ł834.65,13735
MODGPC13736,12-Oct-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",Ł980.00,13736
MODGPC13737,07-Oct-11,Financial Services                 , INSURANCE SALES/UNDERWRITE,Ł578.76,13737
MODGPC13738,13-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł917.54,13738
MODGPC13739,06-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł3,107.90",13739
MODGPC13740,11-Oct-11,Freight and Storage                , PUBLIC WAREHOUSING,Ł504.00,13740
MODGPC13741,04-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł4,149.60",13741
MODGPC13742,12-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł611.54,13742
MODGPC13743,03-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł1,372.00",13743
MODGPC13744,13-Oct-11,Freight and Storage                , MOTOR FREIGHT CARRIERS,"Ł1,236.86",13744
MODGPC13745,03-Oct-11,Freight and Storage                , PUBLIC WAREHOUSING,"Ł9,503.35",13745
MODGPC13746,05-Oct-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,181.48",13746
MODGPC13747,13-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł615.00,13747
MODGPC13748,13-Oct-11,General Retail and Wholesale       , ELECTRONICS STORES,Ł965.30,13748
MODGPC13749,12-Oct-11,General Retail and Wholesale       , TENT AND AWNING SHOPS,Ł792.96,13749
MODGPC13750,13-Oct-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł950.40,13750
MODGPC13751,07-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł531.84,13751
MODGPC13752,04-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł693.72,13752
MODGPC13753,10-Oct-11,General Retail and Wholesale       , SHOE STORES,"Ł1,979.36",13753
MODGPC13754,05-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł590.11,13754
MODGPC13755,06-Oct-11,General Retail and Wholesale       , SHOE STORES,"Ł2,526.62",13755
MODGPC13756,10-Oct-11,General Retail and Wholesale       , SHOE STORES,"Ł1,808.28",13756
MODGPC13757,11-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł897.18,13757
MODGPC13758,05-Oct-11,General Retail and Wholesale       , SHOE STORES,Ł813.64,13758
MODGPC13759,06-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł2,092.20",13759
MODGPC13760,06-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł1,035.95",13760
MODGPC13761,05-Oct-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,095.67",13761
MODGPC13762,11-Oct-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł547.68,13762
MODGPC13763,10-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł2,236.80",13763
MODGPC13764,12-Oct-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł992.34,13764
MODGPC13765,11-Oct-11,General Retail and Wholesale       , ELECTRONICS STORES,"Ł3,127.13",13765
MODGPC13766,07-Oct-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"Ł1,750.00",13766
MODGPC13767,12-Oct-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł594.00,13767
MODGPC13768,12-Oct-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł594.00,13768
MODGPC13769,07-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł835.96,13769
MODGPC13770,13-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł970.00,13770
MODGPC13771,12-Oct-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł540.51,13771
MODGPC13772,04-Oct-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł674.40,13772
MODGPC13773,10-Oct-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł890.08,13773
MODGPC13774,12-Oct-11,General Retail and Wholesale       , LUGGAGE/LEATHER STORES,"Ł2,700.00",13774
MODGPC13775,10-Oct-11,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,Ł999.00,13775
MODGPC13776,06-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł628.80,13776
MODGPC13777,11-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,097.23",13777
MODGPC13778,03-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł536.70,13778
MODGPC13779,10-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł511.20,13779
MODGPC13780,07-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł75,796.80",13780
MODGPC13781,03-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,764.00",13781
MODGPC13782,04-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł600.00,13782
MODGPC13783,06-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł2,134.80",13783
MODGPC13784,06-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł681.22,13784
MODGPC13785,12-Oct-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł703.98,13785
MODGPC13786,03-Oct-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł571.94,13786
